location,x,y
Andover,-72.37605005,41.73310015
Ansonia,-73.068913,41.34426679
Ashford,-72.17104473,41.89107515
Avon,-72.85382106,41.79067861
Barkhamsted,-72.97273932,41.93156002
Beacon Falls,-73.05677007,41.4390312
Berlin,-72.77583506,41.61139254
Bethany,-72.99308971,41.42605805
Bethel,-73.39300479,41.3747051
Bethlehem,-73.21127976,41.63752953
Bloomfield,-72.74061611,41.84258909
Bolton,-72.43902815,41.76648751
Bozrah,-72.17488189,41.54537947
Branford,-72.79817375,41.28410585
Bridgeport,-73.19582709,41.19089125
Bridgewater,-73.3601488,41.52086129
Bristol,-72.940719,41.68116673
Brookfield,-73.39223921,41.46742228
Brooklyn,-71.95430613,41.78697575
Burlington,-72.95894661,41.75979912
Canaan,-73.31020947,41.95969344
Canterbury,-71.99977533,41.6978886
Canton,-72.9083218,41.86001682
Chaplin,-72.12789172,41.79308837
Cheshire,-72.90357661,41.51135223
Chester,-72.48319044,41.40593436
Clinton,-72.53001499,41.29800552
Colchester,-72.34742247,41.56205632
Colebrook,-73.08077436,42.0015219
Columbia,-72.30722479,41.69387097
Cornwall,-73.32993157,41.84733719
Coventry,-72.33940261,41.78280753
Cromwell,-72.6638128,41.61218365
Danbury,-73.47096321,41.40155594
Darien,-73.48188481,41.07859586
Deep River,-72.4622963,41.36894147
Derby,-73.0833129,41.3264989
Durham,-72.68285408,41.46220732
East Granby,-72.74098407,41.9423983
East Haddam,-72.39434814,41.47982043
East Hampton,-72.50738994,41.56956186
East Hartford,-72.61523405,41.76344403
East Haven,-72.85772796,41.29832165
East Lyme,-72.23524046,41.36640497
East Windsor,-72.56719215,41.90489086
Eastford,-72.09194856,41.89130572
Easton,-73.3000212,41.26489839
Ellington,-72.44850067,41.91514773
Enfield,-72.55475021,41.98393439
Essex,-72.41456062,41.3499428
Fairfield,-73.27326959,41.1772564
Farmington,-72.84067213,41.72878174
Franklin,-72.14311811,41.61584561
Glastonbury,-72.54721148,41.69214762
Goshen,-73.23358542,41.850001
Granby,-72.8345989,41.96944648
Greenwich,-73.63679474,41.06653337
Griswold,-71.92267926,41.58519152
Groton,-72.02933008,41.35974943
Guilford,-72.70047562,41.33394812
Haddam,-72.54582952,41.46768517
Hamden,-72.92154273,41.39607784
Hampton,-72.05852988,41.78414598
Hartford,-72.68342906,41.76605237
Hartland,-72.9485705,42.00443254
Harwinton,-73.0582504,41.75504526
Hebron,-72.39049261,41.65926529
Kent,-73.45400209,41.72991483
Killingly,-71.8498635,41.83107316
Killingworth,-72.5784715,41.37923513
Lebanon,-72.24018404,41.63129834
Ledyard,-72.01667447,41.44001824
Lisbon,-72.014108770000007,41.60138005
Litchfield,-73.19310743,41.74131254
Lyme,-72.34379414,41.39651148
Madison,-72.62781611,41.33976205
Manchester,-72.52422851,41.77534652
Mansfield,-72.22873781,41.78920698
Marlborough,-72.45472877,41.63308386
Meriden,-72.79433745,41.53673474
Middlebury,-73.12281956,41.52711689
Middlefield,-72.71489274,41.51754026
Middletown,-72.65489036,41.5476231
Milford,-73.06155466,41.22538485
Monroe,-73.22495583,41.33793565
Montville,-72.1569853,41.46358482
Morris,-73.20783252,41.68980381
Naugatuck,-73.05184608,41.48904524
New Britain,-72.78622957,41.6758423
New Canaan,-73.49916741,41.15923808
New Fairfield,-73.48823015,41.48800097
New Hartford,-73.00549615,41.84423826
New Haven,-72.92454647,41.311168
New London,-72.10225432,41.35015896
New Milford,-73.42128788,41.60425454
Newington,-72.73083965,41.68699472
Newtown,-73.29289394,41.39863927
Norfolk,-73.19638187,41.97995989
North Branford,-72.77685248,41.36454424
North Canaan,-73.29361869,42.0221432
North Haven,-72.85729105,41.38178968
North Stonington,-71.87545566,41.4696553
Norwalk,-73.42154913,41.11443732
Norwich,-72.0882377,41.54949448
Old Lyme,-72.30338027,41.32000566
Old Saybrook,-72.3856899,41.30173864
Orange,-73.02720014,41.28271371
Oxford,-73.13502061,41.43132246
Plainfield,-71.89871478,41.69917239
Plainville,-72.85748068,41.67411668
Plymouth,-73.0263281,41.66416499
Pomfret,-71.98338993,41.86699357
Portland,-72.58904212,41.59883164
Preston,-72.00105516,41.52229715
Prospect,-72.97603326,41.49930113
Putnam,-71.8711378,41.90932135
Redding,-73.39177246,41.3050143
Ridgefield,-73.50233426,41.30646818
Rocky Hill,-72.66317845,41.65721156
Roxbury,-73.3003252,41.55387326
Salem,-72.26632602,41.48533204
Salisbury,-73.425613190000007,41.98593619
Scotland,-72.08800362,41.69779392
Seymour,-73.08726687,41.38100448
Sharon,-73.43751661,41.85741658
Shelton,-73.13828176,41.30600429
Sherman,-73.4986719,41.58024396
Simsbury,-72.82557617,41.87289724
Somers,-72.45301298,41.99491935
South Windsor,-72.5733127,41.83527718
Southbury,-73.23290417,41.47453196
Southington,-72.88015575,41.60493967
Sprague,-72.07583675,41.63044189
Stafford,-72.31224227,41.98755555
Stamford,-73.55827164,41.10354117
Sterling,-71.81841546,41.70247316
Stonington,-71.90340719,41.37384837
Stratford,-73.13053976,41.20704827
Suffield,-72.67890384,41.99445599
Thomaston,-73.08585814,41.6695591
Thompson,-71.873541,41.97976927
Tolland,-72.36480551,41.87858523
Torrington,-73.1281516,41.83494552
Trumbull,-73.20832004,41.2602198
Union,-72.16026796,41.99297547
Vernon,-72.46062664,41.83640118
Voluntown,-71.83254824,41.58003776
Wallingford,-72.80388868,41.45874758
Warren,-73.34485991,41.74056051
Washington,-73.31442319,41.65233258
Waterbury,-73.03613618,41.55825346
Waterford,-72.14831961,41.36916303
Watertown,-73.11773637,41.61603886
West Hartford,-72.75356462,41.76692349
West Haven,-72.96694625,41.27384262
Westbrook,-72.46650759,41.3068805
Weston,-73.37255908,41.22843075
Westport,-73.34746188,41.14282301
Wethersfield,-72.67033839,41.70130991
Willington,-72.25934474,41.88958411
Wilton,-73.44008661,41.20704654
Winchester,-73.10283133,41.92185133
Windham,-72.16708098,41.71018341
Windsor,-72.67360196,41.87101725
Windsor Locks,-72.65442215,41.92670309
Wolcott,-72.97340194,41.60067677
Woodbridge,-73.01017029,41.35661731
Woodbury,-73.20703554,41.56149265
Woodstock,-72.02228171,41.96933957
